City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
133,Ahipara,NZ,59.18,clear sky,-35.1667,173.1667,Ahipara Holiday Park
134,Ribeira Grande,PT,60.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
135,Brownsville,US,71.6,overcast clouds,25.9018,-97.4975,University Inn & Suites
136,Rikitea,PF,79.97,clear sky,-23.1203,-134.9692,Pension Maro'i
137,Totness,SR,82.06,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
138,Mandera,KE,91.35,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
143,Antalaha,MG,80.31,light rain,-14.9003,50.2788,Hotel Vitasoa
144,Jijiga,ET,67.87,broken clouds,9.35,42.8,RAMAAS HOTEL
146,Aswan,EG,72.45,clear sky,24.0934,32.907,Nuba Nile
147,Carnarvon,AU,77.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
148,Bouar,CF,93.61,clear sky,5.934,15.595999999999998,Motel de l'UNITE
150,Niamey,NE,102.2,few clouds,13.5137,2.1098,Soluxe Hotel Niamey
152,Wenling,CN,55.0,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
153,Souillac,MU,78.8,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
156,Sabang,ID,82.81,overcast clouds,5.8933,95.3214,Hotel Citra
159,Methven,NZ,55.99,scattered clouds,-43.6333,171.65,Brinkley Resort
160,Acapulco,MX,78.8,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
162,Seminole,US,70.0,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
164,Mahebourg,MU,78.8,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
165,Cap Malheureux,MU,78.01,heavy intensity rain,-19.9842,57.6142,Pereybere Hotel & Spa
166,Esperance,AU,66.2,overcast clouds,-33.8667,121.9,Hospitality Esperance
167,Namibe,AO,84.2,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
171,Bambous Virieux,MU,78.8,broken clouds,-20.3428,57.7575,Casa Tia Villa
173,Gwadar,PK,75.74,clear sky,25.1216,62.3254,Sadaf Resort
174,Chuy,UY,77.29,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
179,Monrovia,LR,82.4,light rain,6.3005,-10.7969,Sunset Inn
180,Lingao,CN,72.99,clear sky,19.9103,109.6859,Lingao Ditai Inn
181,Rabo De Peixe,PT,60.8,few clouds,37.8,-25.5833,Quinta das Giestas
184,Los Llanos De Aridane,ES,71.6,scattered clouds,28.6585,-17.9182,Valle Aridane
187,Padang,ID,80.6,scattered clouds,-0.9492,100.3543,Mercure Padang
188,Tessalit,ML,91.06,few clouds,20.1986,1.0114,
190,Kaohsiung,TW,75.2,broken clouds,22.6163,120.3133,Kindness Hotel
191,Barranca,PE,78.06,scattered clouds,-10.75,-77.7667,El Olivar Hospedaje
192,Santa Isabel Do Rio Negro,BR,86.79,light rain,-0.4139,-65.0192,Hotel GSA
194,Yaan,NG,103.84,clear sky,7.3833,8.5667,
195,Vangaindrano,MG,77.9,light rain,-23.35,47.6,Hotel Fanilo
196,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
197,Cidreira,BR,76.44,overcast clouds,-30.1811,-50.2056,Hotel Castelo
199,Cascais,PT,61.0,scattered clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
200,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
202,Mongomo,GQ,86.36,broken clouds,1.6274,11.3135,Mbon Ekua
207,Gizo,SB,82.29,light rain,-8.103,156.8419,Imagination Island
209,Rocha,UY,71.76,scattered clouds,-34.4833,-54.3333,Beleza Pura B&B
210,Coahuayana,MX,71.6,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
212,Mwene-Ditu,CD,75.15,overcast clouds,-7.0,23.45,Hôtel Kamas
214,Angoram,PG,73.56,overcast clouds,-4.0625,144.0661,
215,Finschhafen,PG,81.21,overcast clouds,-6.6024,147.8681,Cossam Guest House
217,Comodoro Rivadavia,AR,75.2,few clouds,-45.8667,-67.5,Hotel del Mar
221,Touros,BR,87.8,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
222,Ligayan,PH,82.09,overcast clouds,4.6533,119.4706,
224,Kununurra,AU,82.4,few clouds,-15.7667,128.7333,Hotel Kununurra
226,Zuwarah,LY,67.15,clear sky,32.9312,12.082,يوسف
228,Kamina,CD,73.2,broken clouds,-8.7386,24.9906,Guest House Florvia
230,Katobu,ID,75.92,moderate rain,-4.9408,122.5276,La Ode Husein
231,Robertsport,LR,82.38,few clouds,6.7533,-11.3686,Kwepunha Retreat
232,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
236,Arapiraca,BR,92.23,broken clouds,-9.7525,-36.6611,Hostel Cult MR Alagoas
237,Lagoa,PT,57.4,broken clouds,39.05,-27.9833,Casa Das Faias
238,Ancud,CL,71.6,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
239,Lebu,CL,64.85,clear sky,-37.6167,-73.65,Hostal Las Lilas
240,Shingu,JP,58.41,overcast clouds,33.7333,135.9833,Shingu UI Hotel
242,Telenesti,MD,57.2,clear sky,47.4997,28.3656,Cîminul școlii profesionale
243,Jacqueville,CI,87.8,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
244,Rio Claro,BR,81.0,broken clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
245,Zwedru,LR,83.26,light rain,6.0667,-8.1281,Elijah Worjloh
248,Asfi,MA,61.84,scattered clouds,32.2994,-9.2372,Hôtel Abda
250,Clearwater,US,71.01,broken clouds,27.9659,-82.8001,Shephard's Beach Resort
254,Port Macquarie,AU,68.0,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
258,Gamboma,CG,88.48,broken clouds,-1.8764,15.8644,Residence N'Keni
261,Kaka,TM,57.65,overcast clouds,37.3482,59.6143,
262,Buta,CD,95.94,broken clouds,2.7858,24.73,HOTEL BISO NA BISO
263,Binga,ZW,79.75,clear sky,-17.6203,27.3414,Lakeview Inn Binga
264,Ambon,ID,80.6,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
265,Thinadhoo,MV,83.62,few clouds,0.5333,72.9333,
267,Bredasdorp,ZA,77.0,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
268,Hithadhoo,MV,84.24,few clouds,-0.6,73.0833,Scoop Guest House
270,Gorom-Gorom,BF,100.27,clear sky,14.4439,-0.2361,
275,Kiomboi,TZ,67.26,light rain,-4.2667,34.3667,Reyd's Executive Lodge
276,Inhambane,MZ,84.2,light rain,-23.865,35.3833,Oceano
277,Jamame,SO,78.37,scattered clouds,0.0722,42.7506,
278,Samarai,PG,81.46,broken clouds,-10.6167,150.6667,Nuli Sapi
279,Dicabisagan,PH,75.11,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
281,Maceio,BR,84.2,broken clouds,-9.6658,-35.7353,Poutur Pousada
282,Mogadishu,SO,82.4,clear sky,2.0371,45.3438,Olympic Hotel
283,Luanshya,ZM,70.02,light rain,-13.1367,28.4166,CHOLWA GUEST HOUSE
284,Harper,LR,83.57,few clouds,4.375,-7.7169,Screensaver
285,Mount Gambier,AU,55.4,overcast clouds,-37.8333,140.7667,Commodore on the Park
287,La Rioja,ES,59.0,scattered clouds,42.25,-2.5,Casa Concejos
288,Kismayo,SO,79.07,few clouds,-0.3582,42.5454,Agan-Hotel
295,Morant Bay,JM,84.0,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
296,Constantine,DZ,60.8,scattered clouds,36.365,6.6147,Grand Hotel Cirta
297,Port Lincoln,AU,61.05,heavy intensity rain,-34.7333,135.8667,Port Lincoln Hotel
299,Saint-Pierre,RE,82.4,broken clouds,-21.3393,55.4781,Lindsey Hôtel
301,Panguipulli,CL,71.6,clear sky,-39.6333,-72.3333,Cabañas Mis Viejos
306,Jalu,LY,71.89,clear sky,29.0331,21.5482,صاحبة الفخامة
310,Ocos,GT,84.2,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
313,Luzhou,CN,62.13,broken clouds,28.8724,105.4405,Shijichun Hotel
314,Saint Augustine,US,66.0,clear sky,29.8947,-81.3145,St. George Inn
315,Meiganga,CM,93.83,few clouds,6.5167,14.3,DFR HOUSE
316,Araouane,ML,91.15,clear sky,18.9048,-3.5265,
317,Trairi,BR,88.05,moderate rain,-3.2778,-39.2689,janelas do mar
319,Conceicao Do Araguaia,BR,82.4,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
320,Taltal,CL,72.75,clear sky,-25.4,-70.4833,Residencial Karime
322,Necochea,AR,66.0,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
323,Dubti,ET,91.8,broken clouds,11.7361,41.0853,degu Shiferaw
324,Sao Joao Da Barra,BR,91.4,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
330,Mahon,ES,59.0,few clouds,39.8885,4.2658,ARTIEM Capri
331,Port-Gentil,GA,84.2,moderate rain,-0.7193,8.7815,Fengshui Residence
332,Pringsewu,ID,74.35,overcast clouds,-5.3582,104.9744,Urban Style by Front One
333,Gouyave,GD,78.85,few clouds,12.1646,-61.7296,Rumboat Retreat
336,Fukue,JP,58.1,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
343,Camacha,PT,64.4,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
344,Ko Samui,TH,81.14,clear sky,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
348,Mackay,AU,71.6,few clouds,-21.15,149.2,International Lodge Motel
350,Olinda,BR,84.2,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
351,Emerald,AU,78.8,scattered clouds,-23.5333,148.1667,The Irish Village
352,Akyab,MM,73.89,clear sky,20.15,92.9,Hotel Memory
353,Nouadhibou,MR,75.2,sand,20.930999999999997,-17.0347,El Medina
354,Tongzi,CN,62.38,overcast clouds,28.7829,105.0877,
355,Biak,ID,76.87,light rain,-0.9131,122.8766,Penginapan Kim
356,Dingle,PH,75.9,clear sky,10.9995,122.6711,SEGAYA PROPERTY
357,Ondjiva,AO,91.4,scattered clouds,-17.0667,15.7333,SOS Motel
359,Gramado,BR,66.0,broken clouds,-29.3786,-50.8739,Bavária Sport Hotel
363,Angoche,MZ,79.88,light rain,-16.2325,39.9086,Guest House HESADA
365,Roebourne,AU,81.61,light rain,-20.7833,117.1333,Harding River Caravan Park
366,Bubaque,GW,77.74,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
